Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
7.570	10.713	-0.050	-0.622	23.267	0.000	-0.184	48.996	0.000	0.873
7.606	10.691	0.000	-0.600	23.222	0.050	-0.184	49.018	0.000	0.851
7.640	10.691	0.000	-0.600	23.244	0.000	-0.184	49.018	-0.050	0.873
7.675	10.691	0.000	-0.600	23.222	0.000	-0.184	49.040	-0.050	0.829
7.710	10.691	0.000	-0.600	23.244	0.000	-0.184	49.040	0.000	0.851
7.744	10.691	0.000	-0.600	23.222	0.050	-0.184	49.062	0.000	0.813
7.779	10.691	0.000	-0.600	23.244	0.050	-0.162	49.040	0.000	0.829
7.815	10.669	0.000	-0.578	23.244	0.025	-0.184	49.062	0.000	0.829
7.850	10.647	0.000	-0.578	23.222	0.000	-0.162	49.084	0.000	0.807
7.885	10.647	0.000	-0.556	23.244	0.050	-0.162	49.084	0.000	0.829
7.920	10.647	0.000	-0.556	23.244	-0.050	-0.184	49.084	0.000	0.784
7.954	10.647	0.000	-0.533	23.222	0.050	-0.184	49.107	0.000	0.784
7.989	10.624	0.000	-0.533	23.222	0.000	-0.162	49.084	0.000	0.784
8.025	10.624	0.000	-0.556	23.222	0.000	-0.184	49.129	0.000	0.762
8.060	10.624	0.000	-0.556	23.222	0.000	-0.162	49.129	0.000	0.784
8.095	10.624	0.000	-0.533	23.222	-0.050	-0.162	49.129	0.000	0.762
8.130	10.624	0.000	-0.533	23.222	0.000	-0.162	49.129	-0.070	0.738
8.165	10.624	0.000	-0.533	23.222	0.000	-0.162	49.129	0.000	0.762
8.200	10.624	0.000	-0.533	23.222	-0.035	-0.191	49.151	0.000	0.731
8.235	10.602	0.050	-0.533	23.222	-0.050	-0.140	49.151	-0.050	0.762
8.271	10.602	0.050	-0.511	23.222	0.000	-0.162	49.173	0.000	0.718
8.307	10.602	0.000	-0.511	23.222	0.030	-0.162	49.151	-0.050	0.718
8.342	10.602	0.000	-0.511	23.244	0.000	-0.184	49.151	0.000	0.718
8.377	10.602	0.000	-0.511	23.244	-0.050	-0.184	49.173	0.000	0.718
8.412	10.580	0.050	-0.489	23.222	0.040	-0.162	49.173	0.050	0.718
8.447	10.602	0.000	-0.489	23.222	0.000	-0.162	49.173	0.000	0.718
8.483	10.580	0.000	-0.489	23.222	0.000	-0.162	49.196	0.000	0.696
8.518	10.580	0.000	-0.489	23.200	-0.050	-0.162	49.173	0.050	0.696
8.553	10.580	0.000	-0.489	23.222	0.000	-0.162	49.196	0.000	0.696
8.587	10.558	0.000	-0.467	23.200	0.000	-0.162	49.218	-0.020	0.691
8.623	10.558	0.000	-0.467	23.200	0.015	-0.140	49.218	0.000	0.673
8.658	10.558	0.000	-0.467	23.222	0.000	-0.140	49.240	0.000	0.673
8.693	10.558	0.000	-0.467	23.222	0.050	-0.162	49.240	0.000	0.651
8.729	10.558	0.000	-0.467	23.200	0.050	-0.140	49.240	0.000	0.651
8.764	10.536	0.000	-0.444	23.200	0.000	-0.140	49.240	0.050	0.651
8.799	10.536	0.000	-0.444	23.200	0.000	-0.140	49.240	0.000	0.651
8.834	10.558	0.000	-0.467	23.200	0.000	-0.140	49.262	0.000	0.629
8.869	10.536	0.000	-0.427	23.222	0.000	-0.173	49.262	0.000	0.629
8.904	10.513	0.000	-0.444	23.200	0.000	-0.140	49.262	-0.050	0.629
8.941	10.513	0.000	-0.444	23.200	0.000	-0.140	49.262	0.000	0.607
8.975	10.513	0.000	-0.422	23.200	0.050	-0.140	49.262	0.000	0.607
9.010	10.513	0.000	-0.422	23.222	0.000	-0.140	49.284	-0.050	0.584
9.045	10.513	0.000	-0.422	23.200	0.000	-0.140	49.284	-0.050	0.584
9.079	10.513	0.000	-0.422	23.200	0.000	-0.140	49.307	0.000	0.584
9.114	10.513	0.000	-0.422	23.222	0.000	-0.140	49.322	0.000	0.573
9.150	10.513	0.000	-0.422	23.222	0.000	-0.140	49.307	0.050	0.607
9.186	10.513	0.000	-0.422	23.200	0.000	-0.140	49.307	0.000	0.584
9.220	10.491	0.000	-0.400	23.222	-0.050	-0.140	49.284	0.000	0.584
9.255	10.491	0.000	-0.400	23.200	0.000	-0.140	49.307	0.000	0.584
9.290	10.491	0.000	-0.400	23.200	0.000	-0.140	49.344	0.000	0.562
9.325	10.491	0.000	-0.400	23.200	0.000	-0.127	49.329	0.000	0.562
