Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
6.343	11.313	0.000	-1.222	23.378	0.000	-0.318	48.196	0.000	1.696
6.378	11.313	0.000	-1.222	23.378	0.030	-0.318	48.196	0.000	1.673
6.412	11.291	0.000	-1.200	23.378	0.000	-0.318	48.218	0.000	1.651
6.446	11.291	0.000	-1.200	23.378	-0.050	-0.318	48.240	0.000	1.673
6.483	11.291	-0.050	-1.178	23.378	0.000	-0.318	48.240	0.000	1.651
6.517	11.269	0.000	-1.178	23.356	0.000	-0.296	48.262	-0.050	1.629
6.552	11.247	0.000	-1.178	23.356	0.000	-0.322	48.262	0.000	1.629
6.586	11.247	0.000	-1.156	23.356	0.000	-0.296	48.284	0.000	1.607
6.621	11.247	0.000	-1.156	23.378	-0.050	-0.296	48.284	-0.050	1.607
6.655	11.224	0.000	-1.156	23.378	0.000	-0.318	48.284	0.000	1.607
6.691	11.224	0.000	-1.133	23.356	0.000	-0.318	48.284	0.000	1.584
6.726	11.224	0.000	-1.133	23.356	0.000	-0.296	48.307	0.000	1.584
6.760	11.202	0.000	-1.122	23.356	0.000	-0.329	48.329	0.000	1.584
6.795	11.202	-0.030	-1.111	23.356	0.000	-0.296	48.329	0.000	1.562
6.830	11.202	0.000	-1.111	23.356	0.000	-0.296	48.329	0.000	1.540
6.864	11.180	0.000	-1.089	23.356	0.000	-0.296	48.351	0.035	1.540
6.900	11.180	0.000	-1.089	23.356	0.000	-0.296	48.373	0.000	1.518
6.935	11.180	0.000	-1.089	23.356	0.000	-0.273	48.373	0.000	1.518
6.971	11.158	0.000	-1.067	23.356	0.000	-0.296	48.396	0.000	1.496
6.999	11.158	0.000	-1.067	23.356	0.000	-0.296	48.396	0.000	1.496
7.034	11.136	0.000	-1.053	23.333	0.000	-0.273	48.396	0.000	1.496
7.069	11.136	0.000	-1.044	23.356	0.000	-0.296	48.418	0.000	1.473
7.105	11.136	0.000	-1.044	23.344	0.015	-0.273	48.418	-0.035	1.442
7.140	11.113	0.000	-1.022	23.333	0.000	-0.273	48.440	-0.030	1.451
7.175	11.113	0.000	-1.022	23.333	0.000	-0.296	48.440	0.000	1.451
7.210	11.091	0.000	-1.022	23.344	0.010	-0.273	48.462	0.000	1.451
7.245	11.091	0.000	-1.000	23.333	0.050	-0.273	48.462	0.000	1.429
7.280	11.091	0.000	-1.000	23.333	0.000	-0.273	48.484	0.000	1.407
7.316	11.069	0.000	-0.978	23.320	0.000	-0.273	48.462	0.000	1.407
7.351	11.069	0.000	-0.978	23.318	0.030	-0.287	48.507	0.000	1.407
7.386	11.069	0.000	-0.978	23.333	0.000	-0.273	48.484	0.050	1.407
7.420	11.047	0.050	-0.956	23.333	0.000	-0.251	48.531	0.000	1.384
7.455	11.047	0.000	-0.956	23.311	0.000	-0.251	48.529	0.000	1.384
7.490	11.069	0.000	-0.956	23.333	-0.050	-0.251	48.529	-0.050	1.362
7.525	11.024	0.000	-0.933	23.311	0.000	-0.273	48.529	-0.050	1.340
7.560	11.024	0.000	-0.956	23.333	0.000	-0.251	48.551	0.000	1.340
7.594	11.002	0.000	-0.933	23.333	0.000	-0.273	48.551	0.000	1.340
7.629	11.002	0.000	-0.911	23.311	0.000	-0.251	48.573	-0.050	1.318
7.664	11.002	0.000	-0.911	23.311	0.000	-0.251	48.596	0.000	1.318
7.698	11.002	0.000	-0.911	23.333	0.000	-0.251	48.596	0.000	1.296
7.734	11.002	0.000	-0.911	23.311	-0.050	-0.273	48.596	0.000	1.296
7.768	10.980	0.000	-0.911	23.311	0.000	-0.251	48.596	0.000	1.296
7.803	10.980	0.000	-0.889	23.311	-0.030	-0.251	48.596	0.000	1.273
7.837	10.980	0.000	-0.911	23.311	0.000	-0.251	48.618	0.050	1.273
7.872	10.958	0.050	-0.889	23.311	0.000	-0.251	48.618	0.000	1.251
7.906	10.933	-0.005	-0.851	23.289	0.000	-0.229	48.640	0.000	1.229
7.942	10.958	0.000	-0.867	23.289	0.050	-0.229	48.662	0.000	1.229
7.977	10.936	0.000	-0.844	23.289	0.000	-0.229	48.662	0.000	1.229
8.012	10.936	0.000	-0.844	23.311	0.000	-0.251	48.662	0.050	1.229
8.046	10.936	0.000	-0.844	23.289	0.050	-0.229	48.684	0.000	1.229
8.081	10.936	0.000	-0.844	23.289	0.000	-0.251	48.684	0.000	1.207
8.115	10.913	0.000	-0.822	23.289	-0.050	-0.229	48.707	0.000	1.184
8.151	10.913	0.000	-0.822	23.311	0.000	-0.251	48.707	0.000	1.184
8.186	10.913	0.000	-0.822	23.289	0.000	-0.229	48.729	0.000	1.184
8.220	10.891	0.000	-0.822	23.289	0.000	-0.229	48.707	-0.050	1.162
8.255	10.891	0.000	-0.800	23.276	0.000	-0.229	48.751	0.000	1.162
8.289	10.891	0.000	-0.800	23.289	0.000	-0.229	48.729	0.000	1.162
8.324	10.891	0.000	-0.800	23.289	0.050	-0.211	48.729	0.000	1.140
8.359	10.869	0.000	-0.778	23.289	0.000	-0.229	48.751	0.000	1.140
8.394	10.869	0.000	-0.778	23.267	0.000	-0.229	48.760	0.000	1.118
8.430	10.847	0.000	-0.778	23.289	0.050	-0.229	48.773	0.000	1.118
8.464	10.847	0.000	-0.756	23.289	0.000	-0.229	48.773	0.000	1.118
8.500	10.847	0.000	-0.756	23.267	-0.050	-0.229	48.807	0.000	1.096
8.535	10.847	0.000	-0.756	23.267	0.000	-0.207	48.796	0.000	1.096
8.569	10.847	0.000	-0.756	23.267	0.000	-0.229	48.796	0.000	1.073
8.606	10.847	0.000	-0.756	23.289	0.000	-0.229	48.796	0.000	1.073
8.641	10.824	0.000	-0.733	23.267	0.000	-0.229	48.818	-0.025	1.073
8.676	10.800	-0.020	-0.733	23.267	0.000	-0.207	48.818	0.000	1.073
8.712	10.802	0.000	-0.711	23.267	0.000	-0.229	48.840	0.020	1.038
8.747	10.802	0.000	-0.711	23.289	-0.050	-0.207	48.840	0.050	1.051
8.783	10.802	0.000	-0.711	23.289	-0.050	-0.207	48.862	0.000	1.029
8.819	10.802	0.000	-0.689	23.267	0.000	-0.207	48.884	0.000	1.029
8.855	10.780	0.000	-0.689	23.267	0.050	-0.207	48.884	-0.050	1.007
8.891	10.780	0.000	-0.689	23.267	0.000	-0.229	48.884	-0.050	0.984
8.926	10.780	0.000	-0.689	23.267	0.000	-0.207	48.907	0.000	0.984
8.961	10.758	0.000	-0.667	23.267	0.000	-0.184	48.907	0.000	1.007
8.997	10.758	0.000	-0.667	23.244	0.000	-0.207	48.907	0.000	0.984
9.032	10.758	0.000	-0.667	23.267	0.000	-0.207	48.929	0.000	0.984
9.067	10.758	0.000	-0.667	23.244	0.000	-0.207	48.907	0.000	0.962
9.102	10.758	0.000	-0.667	23.267	0.000	-0.184	48.929	0.000	0.962
9.137	10.758	0.000	-0.667	23.267	0.000	-0.207	48.929	0.000	0.962
9.172	10.758	0.000	-0.667	23.267	0.000	-0.207	48.929	0.000	0.940
9.207	10.736	0.000	-0.644	23.244	-0.050	-0.207	48.951	0.000	0.940
9.242	10.736	0.000	-0.644	23.267	-0.050	-0.207	48.951	0.000	0.940
9.277	10.736	0.000	-0.644	23.267	-0.050	-0.207	48.973	0.000	0.918
9.313	10.713	0.000	-0.622	23.267	0.050	-0.184	48.951	0.000	0.918
9.347	10.713	0.000	-0.622	23.244	0.000	-0.184	48.973	0.000	0.918
9.382	10.713	0.000	-0.622	23.244	0.000	-0.184	48.996	0.000	0.896
9.417	10.713	0.000	-0.622	23.244	0.000	-0.184	48.996	0.000	0.896
9.452	10.713	-0.050	-0.622	23.244	-0.055	-0.209	48.996	0.000	0.873
9.487	10.691	0.000	-0.600	23.244	-0.030	-0.184	48.996	0.000	0.873
9.522	10.691	0.000	-0.600	23.244	-0.030	-0.184	49.018	0.000	0.851
9.558	10.691	0.000	-0.589	23.244	0.000	-0.184	49.040	0.000	0.851
9.592	10.669	0.000	-0.578	23.244	0.000	-0.184	49.062	0.000	0.851
9.627	10.669	0.000	-0.578	23.244	-0.050	-0.184	49.040	0.000	0.851
9.662	10.669	0.000	-0.578	23.244	-0.050	-0.184	49.062	0.000	0.829
9.697	10.669	0.000	-0.578	23.244	0.000	-0.184	49.084	-0.050	0.829
9.733	10.669	0.000	-0.578	23.244	0.000	-0.162	49.044	0.000	0.829
9.768	10.669	-0.050	-0.578	23.222	0.000	-0.184	49.062	0.050	0.807
9.803	10.647	0.000	-0.556	23.244	-0.050	-0.162	49.062	0.050	0.807
9.838	10.647	0.000	-0.556	23.222	-0.050	-0.162	49.084	0.000	0.807
9.873	10.647	0.000	-0.556	23.244	-0.050	-0.162	49.084	0.000	0.807
9.908	10.624	0.000	-0.533	23.244	0.050	-0.162	49.107	-0.050	0.784
9.943	10.624	0.000	-0.533	23.222	0.000	-0.162	49.107	0.000	0.807
9.978	10.624	0.000	-0.533	23.222	0.000	-0.184	49.129	0.050	0.784
10.013	10.624	0.000	-0.533	23.222	0.000	-0.162	49.129	0.000	0.784
10.048	10.624	0.000	-0.533	23.222	0.000	-0.162	49.107	-0.075	0.762
10.082	10.624	0.000	-0.511	23.222	0.000	-0.162	49.129	0.050	0.762
